,chembl_id,IC50,unit,Smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
432,CHEMBL472193,14,nM,O=C(Nc1cccc(C(F)(F)F)c1)Nc1ncc(CCNc2ncnc3ccsc23)s1,7.853871964,464.0700858,7,3,5.4652,TRUE
433,CHEMBL3945870,14.2,nM,Cc1c[nH]c2cccc(-c3nc(C(N)=O)c(-c4ccc(N5CCNC(C)(C)C5)cc4)o3)c12,7.847711656,429.2164751,5,3,4.08542,TRUE
434,CHEMBL3322582,14.3,nM,Cc1[nH]c(/C=C2\C(=O)Nc3cc(NC(=O)c4cccn(C)c4=O)ccc32)c(C)c1C(=O)O,7.844663963,432.1433697,5,4,2.77344,TRUE
435,CHEMBL2163390,14.6,nM,Cc1cc(Nc2nc(Sc3ccc(NC(=O)CN4CC[C@@H](C(=O)N5CCOCC5)C4)cc3)nn3cccc23)n[nH]1,7.835647144,561.2270569,10,3,2.77482,TRUE
437,CHEMBL3329652,14.9,nM,COc1ccc(C(=O)NC(=O)Nc2ccc3c(c2)NC(=O)/C3=C\c2ccc[nH]2)cc1,7.826813732,402.1328051,4,4,3.4779,TRUE
438,CHEMBL2071199,15,nM,Cn1cc(Nc2ncc([N+](=O)[O-])c(N[C@H]3[C@@H](C(N)=O)[C@@H]4C=C[C@H]3C4)n2)cn1,7.823908741,370.1501864,9,3,0.9498,TRUE
439,CHEMBL3680589,15,nM,CC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)C(F)(F)C(F)(F)F)c1,7.823908741,453.1224159,5,3,4.0379,TRUE
440,CHEMBL3685238,15,nM,CNc1cccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)c1,7.823908741,426.1804239,6,4,3.6348,TRUE
442,CHEMBL1822637,15,nM,Cc1cc(Nc2nc(Sc3ccc(NC(=O)CN4C[C@H](OC(C)(C)C)C[C@H]4CO)cc3)nn3cccc23)n[nH]1,7.823908741,550.2474579,10,4,3.84442,TRUE
443,CHEMBL3680604,15,nM,NC(=O)c1cccc2c(NCc3cccc(Nc4ccc(C(F)(F)F)cn4)c3)ncnc12,7.823908741,438.1415938,6,3,4.4982,TRUE
