miRNA,mRNA
ath-miR156a-5p,AT1G27370
ath-miR156a-5p,AT1G27360
ath-miR156a-5p,AT1G27370
ath-miR156a-5p,AT5G50570
ath-miR156a-5p,AT5G43270
ath-miR156a-5p,AT1G69170
ath-miR156a-5p,AT1G27360
ath-miR156a-5p,AT1G27360
ath-miR156a-5p,AT5G43270
ath-miR156a-5p,AT5G43270
ath-miR156a-5p,AT1G27360
ath-miR156a-5p,AT3G57920
ath-miR156a-5p,AT5G50570
ath-miR156a-5p,AT1G27370
ath-miR156a-5p,AT2G42200
ath-miR156a-5p,AT5G50670
ath-miR156a-5p,AT1G27370
ath-miR156a-5p,AT2G33810
ath-miR156a-5p,AT1G53160
ath-miR156a-5p,AT3G28690
ath-miR156a-5p,AT3G15270
ath-miR156a-5p,AT4G24270
ath-miR156a-5p,AT4G24270
ath-miR156a-5p,AT1G71690
ath-miR156a-5p,AT4G35170
ath-miR156a-5p,AT3G62420
ath-miR156a-5p,AT3G62422
ath-miR156a-5p,AT1G03980
ath-miR156a-5p,AT2G21840
ath-miR156a-5p,AT2G46850
ath-miR156a-5p,AT1G25500
ath-miR156a-5p,AT1G71400
ath-miR156a-5p,AT3G47170
ath-miR156a-5p,AT1G22000
ath-miR156a-5p,AT1G26890
ath-miR156a-5p,AT2G37860
ath-miR156a-5p,AT5G25560
ath-miR156a-5p,AT2G37860
ath-miR156a-5p,AT5G25560
ath-miR156a-5p,AT5G25560
ath-miR156a-5p,AT1G03730
ath-miR156a-5p,AT5G38610
ath-miR156a-5p,AT1G16916
ath-miR156a-5p,AT2G17640
ath-miR156a-5p,AT4G10595
ath-miR773a,AT4G14140
ath-miR773a,AT4G14140
ath-miR773a,AT4G05390
ath-miR773a,AT4G05390
ath-miR773a,AT4G08990
ath-miR773a,AT1G50770
ath-miR773a,AT3G07780
ath-miR773a,AT3G57540
ath-miR773a,AT4G14920
ath-miR773a,AT4G16890
ath-miR773a,AT5G14270
ath-miR773a,AT5G14270
ath-miR773a,AT5G57350
ath-miR773a,AT5G57350
ath-miR773a,AT1G35660
ath-miR773a,AT1G33790
ath-miR773a,AT1G33790
ath-miR773a,AT3G12010
ath-miR773a,AT3G12012
ath-miR773a,AT5G64550
ath-miR773a,AT5G64552
ath-miR773a,AT1G25682
ath-miR773a,AT1G78650
ath-miR773a,AT1G79950
ath-miR773a,AT4G32360
ath-miR773a,AT4G33520
ath-miR773a,AT4G33520
ath-miR161.2,AT1G62590
ath-miR161.2,AT5G41170
ath-miR161.2,AT1G63330
ath-miR161.2,AT1G63150
ath-miR161.2,AT1G63400
ath-miR161.2,AT5G16640
ath-miR161.2,AT1G63630
ath-miR161.2,AT1G63130
ath-miR161.2,AT1G62930
ath-miR161.2,AT1G62910
ath-miR161.2,AT1G62914
ath-miR161.2,AT5G65560
ath-miR161.2,AT1G63230
ath-miR161.2,AT2G41720
ath-miR161.2,AT2G41720
ath-miR161.2,AT1G63070
ath-miR161.2,AT1G63080
ath-miR161.2,AT1G06580
ath-miR161.2,AT1G62670
ath-miR161.2,AT1G64583
ath-miR161.2,AT3G16710
ath-miR161.2,AT5G53900
ath-miR161.2,AT5G53900
ath-miR161.2,AT4G26800
ath-miR161.2,AT3G14460
ath-miR8170-3p,AT2G43430
ath-miR8170-3p,AT2G43430
ath-miR8170-3p,AT1G01300
ath-miR172c,AT4G36920
ath-miR172c,AT4G36920
ath-miR172c,AT5G60120
ath-miR172c,AT5G60120
ath-miR172c,AT2G28550
ath-miR172c,AT2G28550
ath-miR172c,AT2G28550
ath-miR172c,AT3G54990
ath-miR172c,AT5G67180
ath-miR172c,AT2G39250
ath-miR172c,AT2G10440
ath-miR172c,AT2G10440
ath-miR172c,AT3G49690
ath-miR172c,AT3G48185
ath-miR172c,AT4G38830
ath-miR172c,AT5G16000
ath-miR172c,AT4G24630
ath-miR172c,AT5G27840
ath-miR172c,AT5G27840
ath-miR172c,AT5G07190
ath-miR172c,AT5G51590
ath-miR172c,AT3G30120
ath-miR172c,AT2G40250
ath-miR172c,AT5G12900
ath-miR172c,AT1G45100
ath-miR172c,AT1G61290
ath-miR5630b,AT1G33140
ath-miR5630b,AT1G33120
ath-miR5630b,AT4G09010
ath-miR393b-3p,AT3G09530
ath-miR169h,AT1G54160
ath-miR169h,AT1G17590
ath-miR169h,AT1G17590
ath-miR169h,AT1G72830
ath-miR169h,AT1G72830
ath-miR169h,AT1G72830
ath-miR169h,AT1G17590
ath-miR169h,AT1G17590
ath-miR169h,AT5G06510
ath-miR169h,AT5G06510
ath-miR169h,AT3G05690
ath-miR169h,AT5G06510
ath-miR169h,AT5G42120
ath-miR169h,AT5G12840
ath-miR169h,AT5G12840
ath-miR169h,AT5G12840
ath-miR169h,AT5G12840
ath-miR854c,AT5G05100
ath-miR854c,AT5G19590
ath-miR854c,AT1G15530
ath-miR854c,AT1G53560
ath-miR854c,AT3G56110
ath-miR854c,AT3G56110
ath-miR854c,AT1G53770
ath-miR854c,AT1G53770
ath-miR854c,AT4G00680
ath-miR854c,AT1G50732
ath-miR854c,AT1G49290
ath-miR854c,AT3G10630
ath-miR854c,AT2G41640
ath-miR854c,AT2G41640
ath-miR854c,AT5G55370
ath-miR854c,AT3G02970
ath-miR854c,AT1G34370
ath-miR854c,AT1G34370
ath-miR854c,AT1G34370
ath-miR854c,AT3G62850
ath-miR5630a,AT1G33140
ath-miR5630a,AT1G33120
ath-miR5630a,AT4G09010
ath-miR156j,AT1G27370
ath-miR156j,AT1G27360
ath-miR156j,AT1G69170
ath-miR156j,AT1G27370
ath-miR156j,AT1G27360
ath-miR156j,AT3G57920
