"gene","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","significance","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","Significance","Label","Source"
"PGLS","PGLS",8.07805452876603e-12,-0.623345436155222,0.088,0.12,1.47206387677703e-07,"Downregulated","ENSG00000130313",-1.32484487449977,5.44586113205382,314.906177657166,1.86411839434205e-70,2.35789337035579e-69,"Significant","Down in WA (Up in Control)","Common_DEGs"
"PHB2","PHB2",5.0280193374168e-12,-0.392033597902297,0.088,0.122,9.16255963857463e-08,"Downregulated","ENSG00000215021",-1.71362288646677,8.59339761749256,975.874860701694,3.14967384685434e-214,1.75033514378286e-212,"Significant","Down in WA (Up in Control)","Common_DEGs"
"PHLDA1","PHLDA1",1.03766724460735e-13,1.00201037744145,0.091,0.058,1.89094101984797e-09,"Upregulated","ENSG00000139289",3.67188470350284,4.35231751000335,1018.99493347693,1.33502851733627e-223,7.93964620573337e-222,"Significant","Up in WA (Down in Control)","Common_DEGs"
"PITHD1","PITHD1",1.08117128269915e-06,-0.451992503340092,0.063,0.084,0.0197021842846266,"Downregulated","ENSG00000057757",1.17198578765315,6.94187207570169,444.282856771719,1.26573169682012e-98,2.35896202433017e-97,"Significant","Up in WA (Down in Control)","Common_DEGs"
"PLA2G16","PLA2G16",2.40493330309309e-16,-0.261652132203967,0.109,0.155,4.38250995822654e-12,"Downregulated","ENSG00000176485",-1.35865729416834,4.83357820042642,275.768505548911,6.27677821835278e-62,7.02487992163334e-61,"Significant","Down in WA (Up in Control)","Common_DEGs"
"PLBD1","PLBD1",1.09464970612582e-12,-0.58417490634244,0.012,0.028,1.99478015947309e-08,"Downregulated","ENSG00000121316",-1.48968058639566,-1.40650412978094,5.38696086890363,0.0202877755271391,0.0398326625624228,"Significant","Down in WA (Up in Control)","Common_DEGs"
"PLCB2","PLCB2",4.12016066236437e-07,-1.03424365903443,0.01,0.02,0.0075081687750266,"Downregulated","ENSG00000137841",-4.66378805792695,2.10293565083717,356.683942437192,1.48475610481865e-79,2.15092231727978e-78,"Significant","Down in WA (Up in Control)","Common_DEGs"
"PLCG2","PLCG2",0,-4.6014707791929,0.014,0.213,0,"Downregulated","ENSG00000197943",1.97827852913946,0.331093054407122,34.6842231184632,3.87761415847411e-09,1.32033627634918e-08,"Significant","Up in WA (Down in Control)","Common_DEGs"
"PLEKHD1","PLEKHD1",1.41717419202485e-06,-1.30201206778068,0.004,0.01,0.0258251653012689,"Downregulated","ENSG00000175985",-1.52801907653095,-0.146646413144154,11.0549302650711,0.000884516726530395,0.00214172387378697,"Significant","Down in WA (Up in Control)","Common_DEGs"
"PLEKHJ1","PLEKHJ1",1.28658693308747e-21,-0.412824874045834,0.082,0.129,2.3445473681653e-17,"Downregulated","ENSG00000104886",-1.37269905819739,6.47042750819705,464.459131734704,5.14656241026424e-103,1.01958748425163e-101,"Significant","Down in WA (Up in Control)","Common_DEGs"
"PLIN2","PLIN2",3.41724750730761e-17,1.05538667220905,0.222,0.174,6.22725013256666e-13,"Upregulated","ENSG00000147872",1.33708936083529,2.05726021190468,55.4158045077661,9.75489837447013e-14,3.96235114507668e-13,"Significant","Up in WA (Down in Control)","Common_DEGs"
"PMS1","PMS1",8.7169334713951e-15,-1.16994140004127,0.014,0.032,1.58848678649233e-10,"Downregulated","ENSG00000064933",-1.30770757627355,4.57579802067349,225.541301843843,5.59436669828245e-51,5.21952702134249e-50,"Significant","Down in WA (Up in Control)","Common_DEGs"
"PNPLA2","PNPLA2",2.67659548566713e-06,-0.595967293555775,0.025,0.039,0.0487755995353121,"Downregulated","ENSG00000177666",-1.12937998824449,6.16882841317956,345.152163620359,4.81776308237216e-77,6.72085660174176e-76,"Significant","Down in WA (Up in Control)","Common_DEGs"
"POLD4","POLD4",6.17817183277326e-13,-1.26480344023524,0.018,0.036,1.12584825308627e-08,"Downregulated","ENSG00000175482",2.55412444861603,3.57355585504146,445.903291672293,5.61929251332712e-99,1.05306508162836e-97,"Significant","Up in WA (Down in Control)","Common_DEGs"
"POLE2","POLE2",4.22848866861373e-08,-1.88119210191982,0.003,0.01,0.000770557490081479,"Downregulated","ENSG00000100479",-1.66101426957685,4.17416957055307,305.030683120108,2.64109950766479e-68,3.22567273336049e-67,"Significant","Down in WA (Up in Control)","Common_DEGs"
"POLK","POLK",4.01980989152497e-18,-0.666133375854526,0.027,0.055,7.32529956532595e-14,"Downregulated","ENSG00000122008",1.05074685480256,4.44621355545601,138.278707281271,6.33339790538801e-32,4.13670812878362e-31,"Significant","Up in WA (Down in Control)","Common_DEGs"
