"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","significance"
"SNRPD3",2.23494920637458e-10,-0.143096561164317,0.138,0.175,4.0727479387764e-06,"SNRPD3","Not Significant"
"COMMD9",2.23714765044369e-10,-0.254916650537903,0.037,0.059,4.07675416340354e-06,"COMMD9","Downregulated"
"GTPBP4",2.2416060865479e-10,-0.107973101032625,0.058,0.085,4.08487877151624e-06,"GTPBP4","Not Significant"
"NCF2",2.28656927721845e-10,-0.595256002146132,0.011,0.024,4.16681519387518e-06,"NCF2","Downregulated"
"FLOT1",2.28755227898724e-10,-0.11822275981502,0.077,0.107,4.16860651799846e-06,"FLOT1","Not Significant"
"GTF2I",2.30365845041145e-10,-0.568411702237681,0.04,0.063,4.19795679418479e-06,"GTF2I","Downregulated"
"ADORA2A-AS1",2.30655003747449e-10,-2.42648301971576,0.003,0.011,4.20322613328976e-06,"ADORA2A-AS1","Downregulated"
"AHCYL1",2.32499398771064e-10,-0.791999686062137,0.019,0.035,4.2368365438051e-06,"AHCYL1","Downregulated"
"WDR37",2.35887457811322e-10,-1.04768709317156,0.012,0.026,4.29857714369572e-06,"WDR37","Downregulated"
"GJC1",2.36356177650018e-10,-1.6103006120036,0.004,0.013,4.30711862531628e-06,"GJC1","Downregulated"
"RALY",2.38855959310359e-10,-0.211027636970962,0.157,0.196,4.35267214651267e-06,"RALY","Not Significant"
"ARL14EP",2.40477312272508e-10,-0.158311498958551,0.039,0.061,4.38221806154191e-06,"ARL14EP","Not Significant"
"CHCHD5",2.41051238922539e-10,-0.42573587664484,0.065,0.092,4.39267672688544e-06,"CHCHD5","Downregulated"
"TM9SF2",2.53556787371672e-10,-0.331340534065051,0.07,0.098,4.62056533627398e-06,"TM9SF2","Downregulated"
"MRPL1",2.54164796147996e-10,-0.137676201771584,0.078,0.109,4.63164508020493e-06,"MRPL1","Not Significant"
"WIPI1",2.5662543490549e-10,-0.981090776468283,0.013,0.027,4.67648530028275e-06,"WIPI1","Downregulated"
"LZTR1",2.64700089144814e-10,-1.19129199846522,0.009,0.021,4.82362972448595e-06,"LZTR1","Downregulated"
"AC133919.1",2.66760295075256e-10,-2.13773632141301,0.005,0.015,4.86117285715639e-06,"AC133919.1","Downregulated"
"TMEM218",2.67084156148071e-10,-0.441883701824542,0.027,0.046,4.8670745774863e-06,"TMEM218","Downregulated"
"DIS3L",2.67928079180302e-10,-0.976209317396041,0.014,0.029,4.88245338690265e-06,"DIS3L","Downregulated"
"TXN2",2.69843072206611e-10,-0.108220128167734,0.1,0.134,4.91735030482107e-06,"TXN2","Not Significant"
"KIAA2026",2.72763613282544e-10,-0.584074988830317,0.043,0.066,4.97057132484779e-06,"KIAA2026","Downregulated"
"GSAP",2.7309564686894e-10,-0.728557194249858,0.022,0.039,4.9766219728927e-06,"GSAP","Downregulated"
"VCAN",2.74186973689438e-10,-0.97600002198311,0.011,0.025,4.99650922154263e-06,"VCAN","Downregulated"
"TSIX",2.75723930537968e-10,-1.19740047145702,0.012,0.026,5.02451718619339e-06,"TSIX","Downregulated"
"C5orf24",2.78745112366437e-10,-0.731728736370358,0.027,0.046,5.07957218265358e-06,"C5orf24","Downregulated"
